City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
Lebu,1,CL,1622155223,"{'temp': 53.55, 'feels_like': 52.65, 'temp_min': 53.55, 'temp_max': 53.55, 'pressure': 1014, 'humidity': 86, 'sea_level': 1014, 'grnd_level': 1010}",-37.6167,-73.65,53.55,9.33
Cap Malheureux,6,MU,1622155466,"{'temp': 73.47, 'feels_like': 74.19, 'temp_min': 72.09, 'temp_max': 73.47, 'pressure': 1018, 'humidity': 78}",-19.9842,57.6142,73.47,5.01
Jamestown,1,US,1622155467,"{'temp': 59.72, 'feels_like': 57.65, 'temp_min': 56.52, 'temp_max': 62.29, 'pressure': 1020, 'humidity': 48}",42.097,-79.2353,62.29,3.0
Busselton,0,AU,1622155467,"{'temp': 52.05, 'feels_like': 50.34, 'temp_min': 52.05, 'temp_max': 53.1, 'pressure': 1017, 'humidity': 72, 'sea_level': 1017, 'grnd_level': 1017}",-33.65,115.3333,53.1,9.78
Kirakira,91,SB,1622155467,"{'temp': 81.99, 'feels_like': 85.57, 'temp_min': 81.99, 'temp_max': 81.99, 'pressure': 1013, 'humidity': 66, 'sea_level': 1013, 'grnd_level': 1011}",-10.4544,161.9205,81.99,4.21
Tiznit Province,73,MA,1622155468,"{'temp': 62.4, 'feels_like': 62.01, 'temp_min': 62.4, 'temp_max': 62.4, 'pressure': 1014, 'humidity': 78, 'sea_level': 1014, 'grnd_level': 949}",29.5833,-9.5,62.4,1.61
Dunedin,100,NZ,1622155468,"{'temp': 46.8, 'feels_like': 42.85, 'temp_min': 46.8, 'temp_max': 46.8, 'pressure': 998, 'humidity': 87}",-45.8742,170.5036,46.8,8.01
Rikitea,64,PF,1622155468,"{'temp': 71.44, 'feels_like': 70.95, 'temp_min': 71.44, 'temp_max': 71.44, 'pressure': 1015, 'humidity': 57, 'sea_level': 1015, 'grnd_level': 1012}",-23.1203,-134.9692,71.44,4.18
Carnarvon,40,AU,1622155468,"{'temp': 64.47, 'feels_like': 64.47, 'temp_min': 64.47, 'temp_max': 64.47, 'pressure': 1016, 'humidity': 82}",-24.8667,113.6333,64.47,4.61
Yangi Marg`ilon,9,UZ,1622155469,"{'temp': 68.72, 'feels_like': 67.6, 'temp_min': 68.72, 'temp_max': 71.02, 'pressure': 1012, 'humidity': 49}",40.4272,71.7189,71.02,4.61
Najrān,9,SA,1622155469,"{'temp': 81.25, 'feels_like': 79.32, 'temp_min': 81.25, 'temp_max': 81.25, 'pressure': 1012, 'humidity': 19, 'sea_level': 1012, 'grnd_level': 873}",17.4924,44.1277,81.25,1.34
Bambous Virieux,40,MU,1622155470,"{'temp': 71.85, 'feels_like': 73.15, 'temp_min': 71.85, 'temp_max': 73.22, 'pressure': 1017, 'humidity': 94, 'sea_level': 1017, 'grnd_level': 1014}",-20.3428,57.7575,73.22,7.47
Ushuaia,75,AR,1622155299,"{'temp': 29.86, 'feels_like': 16.34, 'temp_min': 29.86, 'temp_max': 29.86, 'pressure': 990, 'humidity': 93}",-54.8,-68.3,29.86,23.02
Logan,1,US,1622155235,"{'temp': 74.64, 'feels_like': 73.45, 'temp_min': 70.16, 'temp_max': 78.48, 'pressure': 997, 'humidity': 35}",41.7355,-111.8344,78.48,4.0
Cidreira,0,BR,1622155470,"{'temp': 61.63, 'feels_like': 60.64, 'temp_min': 61.63, 'temp_max': 61.63, 'pressure': 1013, 'humidity': 67, 'sea_level': 1013, 'grnd_level': 1012}",-30.1811,-50.2056,61.63,3.74
Kumul,100,CN,1622155470,"{'temp': 79.3, 'feels_like': 79.3, 'temp_min': 79.3, 'temp_max': 79.3, 'pressure': 1003, 'humidity': 13, 'sea_level': 1003, 'grnd_level': 923}",42.8,93.45,79.3,1.45
Port Alfred,93,ZA,1622155471,"{'temp': 60.3, 'feels_like': 59.83, 'temp_min': 60.3, 'temp_max': 60.3, 'pressure': 1015, 'humidity': 81, 'sea_level': 1015, 'grnd_level': 1013}",-33.5906,26.891,60.3,11.12
Saskylakh,72,RU,1622155471,"{'temp': 31.28, 'feels_like': 26.64, 'temp_min': 31.28, 'temp_max': 31.28, 'pressure': 1021, 'humidity': 76, 'sea_level': 1021, 'grnd_level': 1020}",71.9167,114.0833,31.28,4.59
Dargaville,82,NZ,1622155471,"{'temp': 60.66, 'feels_like': 60.08, 'temp_min': 60.66, 'temp_max': 60.66, 'pressure': 1004, 'humidity': 78, 'sea_level': 1004, 'grnd_level': 1003}",-35.9333,173.8833,60.66,8.37
Rāzole,59,IN,1622155472,"{'temp': 86.88, 'feels_like': 88.61, 'temp_min': 86.88, 'temp_max': 86.88, 'pressure': 1001, 'humidity': 48, 'sea_level': 1001, 'grnd_level': 999}",16.4833,81.8333,86.88,4.09
Hanmer Springs,100,NZ,1622155472,"{'temp': 51.51, 'feels_like': 49.37, 'temp_min': 51.51, 'temp_max': 51.51, 'pressure': 998, 'humidity': 64, 'sea_level': 998, 'grnd_level': 952}",-42.5167,172.8167,51.51,3.83
Punta Arenas,0,CL,1622155472,"{'temp': 30.31, 'feels_like': 18.82, 'temp_min': 30.11, 'temp_max': 30.31, 'pressure': 996, 'humidity': 74, 'sea_level': 996, 'grnd_level': 993}",-53.15,-70.9167,30.31,16.69
Puntarenas,99,CR,1622155254,"{'temp': 85.93, 'feels_like': 99.57, 'temp_min': 85.93, 'temp_max': 85.93, 'pressure': 1010, 'humidity': 80, 'sea_level': 1010, 'grnd_level': 1010}",9.9763,-84.8384,85.93,5.75
Mataura,100,NZ,1622155473,"{'temp': 49.48, 'feels_like': 49.48, 'temp_min': 49.48, 'temp_max': 49.48, 'pressure': 1000, 'humidity': 95, 'sea_level': 1000, 'grnd_level': 993}",-46.1927,168.8643,49.48,0.74
Mount Isa,1,AU,1622155392,"{'temp': 60.57, 'feels_like': 57.78, 'temp_min': 60.57, 'temp_max': 60.57, 'pressure': 1023, 'humidity': 31}",-20.7333,139.5,60.57,12.66
East London,72,ZA,1622155224,"{'temp': 63.19, 'feels_like': 62.83, 'temp_min': 63.19, 'temp_max': 63.19, 'pressure': 1015, 'humidity': 77, 'sea_level': 1015, 'grnd_level': 1009}",-33.0153,27.9116,63.19,11.9
Saint George,1,US,1622155473,"{'temp': 93.16, 'feels_like': 88.59, 'temp_min': 88.36, 'temp_max': 97.27, 'pressure': 1012, 'humidity': 10}",37.1041,-113.5841,97.27,3.0
Hermanus,90,ZA,1622155474,"{'temp': 63.81, 'feels_like': 63.23, 'temp_min': 59.9, 'temp_max': 63.81, 'pressure': 1016, 'humidity': 71, 'sea_level': 1016, 'grnd_level': 1012}",-34.4187,19.2345,63.81,12.5
Skjervøy,100,NO,1622155474,"{'temp': 40.75, 'feels_like': 31.05, 'temp_min': 40.75, 'temp_max': 40.75, 'pressure': 1014, 'humidity': 82, 'sea_level': 1014, 'grnd_level': 1014}",70.0311,20.9714,40.75,21.85
Saint-Philippe,39,RE,1622155474,"{'temp': 70.72, 'feels_like': 71.26, 'temp_min': 70.21, 'temp_max': 71.19, 'pressure': 1019, 'humidity': 80, 'sea_level': 1019, 'grnd_level': 1013}",-21.3585,55.7679,71.19,4.54
Lagoa,99,PT,1622155474,"{'temp': 58.84, 'feels_like': 57.2, 'temp_min': 58.84, 'temp_max': 58.84, 'pressure': 1026, 'humidity': 59, 'sea_level': 1026, 'grnd_level': 1017}",39.05,-27.9833,58.84,7.27
Cabudare,79,VE,1622155475,"{'temp': 88.05, 'feels_like': 108.43, 'temp_min': 88.05, 'temp_max': 88.05, 'pressure': 1012, 'humidity': 83, 'sea_level': 1012, 'grnd_level': 979}",10.0289,-69.0894,88.05,3.31
Atbasar,0,KZ,1622155475,"{'temp': 51.71, 'feels_like': 49.73, 'temp_min': 51.71, 'temp_max': 51.71, 'pressure': 1022, 'humidity': 67, 'sea_level': 1022, 'grnd_level': 988}",51.8,68.3333,51.71,7.25
Ribeira Grande,100,PT,1622155475,"{'temp': 59.74, 'feels_like': 58.33, 'temp_min': 59.74, 'temp_max': 59.74, 'pressure': 1027, 'humidity': 62, 'sea_level': 1027, 'grnd_level': 1027}",38.5167,-28.7,59.74,9.22
Esperance,5,AU,1622155476,"{'temp': 51.64, 'feels_like': 48.85, 'temp_min': 51.64, 'temp_max': 51.64, 'pressure': 1023, 'humidity': 50, 'sea_level': 1023, 'grnd_level': 1023}",-33.8667,121.9,51.64,16.15
Coquimbo,0,CL,1622155476,"{'temp': 55.13, 'feels_like': 54.43, 'temp_min': 55.13, 'temp_max': 55.13, 'pressure': 1013, 'humidity': 87, 'sea_level': 1013, 'grnd_level': 1011}",-29.9533,-71.3436,55.13,7.47
Arraial do Cabo,1,BR,1622155476,"{'temp': 72.68, 'feels_like': 73.65, 'temp_min': 72.68, 'temp_max': 72.68, 'pressure': 1016, 'humidity': 85, 'sea_level': 1016, 'grnd_level': 1014}",-22.9661,-42.0278,72.68,7.9
Dikson,88,RU,1622155477,"{'temp': 18.73, 'feels_like': 9.28, 'temp_min': 18.73, 'temp_max': 18.73, 'pressure': 1016, 'humidity': 99, 'sea_level': 1016, 'grnd_level': 1010}",73.5069,80.5464,18.73,7.27
Vaini,20,TO,1622155477,"{'temp': 77.16, 'feels_like': 77.83, 'temp_min': 77.16, 'temp_max': 77.16, 'pressure': 1014, 'humidity': 69}",-21.2,-175.2,77.16,10.36
Bluff,100,NZ,1622155477,"{'temp': 49.8, 'feels_like': 46.11, 'temp_min': 49.8, 'temp_max': 49.8, 'pressure': 1000, 'humidity': 88, 'sea_level': 1000, 'grnd_level': 997}",-46.6,168.3333,49.8,9.06
Hobart,75,AU,1622155213,"{'temp': 43.34, 'feels_like': 43.34, 'temp_min': 39.22, 'temp_max': 44.92, 'pressure': 1025, 'humidity': 77}",-42.8794,147.3294,44.92,1.99
Santa Ana,20,US,1622155398,"{'temp': 72.99, 'feels_like': 72.57, 'temp_min': 60.3, 'temp_max': 88.57, 'pressure': 1016, 'humidity': 55}",33.7456,-117.8678,88.57,3.0
Norman Wells,75,CA,1622155478,"{'temp': 46.44, 'feels_like': 40.41, 'temp_min': 46.44, 'temp_max': 46.44, 'pressure': 1006, 'humidity': 66}",65.282,-126.8329,46.44,13.8
Nsanje,0,MW,1622155478,"{'temp': 60.53, 'feels_like': 60.66, 'temp_min': 60.53, 'temp_max': 60.53, 'pressure': 1020, 'humidity': 93, 'sea_level': 1020, 'grnd_level': 1013}",-16.92,35.262,60.53,1.43
Torbay,90,CA,1622155393,"{'temp': 51.89, 'feels_like': 51.24, 'temp_min': 48.15, 'temp_max': 54.88, 'pressure': 1001, 'humidity': 95}",47.6666,-52.7314,54.88,23.02
Hithadhoo,100,MV,1622155479,"{'temp': 81.82, 'feels_like': 87.89, 'temp_min': 81.82, 'temp_max': 81.82, 'pressure': 1011, 'humidity': 78, 'sea_level': 1011, 'grnd_level': 1010}",-0.6,73.0833,81.82,17.92
Bilma,0,NE,1622155479,"{'temp': 86.09, 'feels_like': 82.83, 'temp_min': 86.09, 'temp_max': 86.09, 'pressure': 1011, 'humidity': 7, 'sea_level': 1011, 'grnd_level': 971}",18.6853,12.9164,86.09,3.33
Mahébourg,40,MU,1622155479,"{'temp': 71.89, 'feels_like': 73.2, 'temp_min': 71.89, 'temp_max': 73.26, 'pressure': 1018, 'humidity': 94}",-20.4081,57.7,73.26,3.44
Tiksi,100,RU,1622155480,"{'temp': 34.81, 'feels_like': 28.94, 'temp_min': 34.81, 'temp_max': 34.81, 'pressure': 1015, 'humidity': 90, 'sea_level': 1015, 'grnd_level': 1010}",71.6872,128.8694,34.81,6.91
Albany,43,US,1622155404,"{'temp': 64.85, 'feels_like': 63.34, 'temp_min': 61, 'temp_max': 69.17, 'pressure': 1013, 'humidity': 49}",42.6001,-73.9662,69.17,12.01
Sedalia,1,US,1622155480,"{'temp': 68.92, 'feels_like': 69.37, 'temp_min': 67.59, 'temp_max': 69.93, 'pressure': 1011, 'humidity': 82}",38.7045,-93.2283,69.93,12.66
Kindu,97,CD,1622155480,"{'temp': 68.94, 'feels_like': 70, 'temp_min': 68.94, 'temp_max': 68.94, 'pressure': 1012, 'humidity': 95, 'sea_level': 1012, 'grnd_level': 959}",-2.95,25.95,68.94,2.24
Iqaluit,75,CA,1622155481,"{'temp': 34.7, 'feels_like': 25.77, 'temp_min': 34.7, 'temp_max': 35.33, 'pressure': 1010, 'humidity': 69}",63.7506,-68.5145,35.33,13.0
Bredasdorp,96,ZA,1622155481,"{'temp': 61.92, 'feels_like': 60.21, 'temp_min': 61.92, 'temp_max': 63.28, 'pressure': 1015, 'humidity': 51, 'sea_level': 1015, 'grnd_level': 1006}",-34.5322,20.0403,63.28,7.67
Ambilobe,7,MG,1622155481,"{'temp': 68.16, 'feels_like': 69.04, 'temp_min': 68.16, 'temp_max': 68.16, 'pressure': 1016, 'humidity': 93, 'sea_level': 1016, 'grnd_level': 1012}",-13.2,49.05,68.16,2.68
Cayenne,90,GF,1622155325,"{'temp': 76.08, 'feels_like': 77.61, 'temp_min': 75.24, 'temp_max': 76.08, 'pressure': 1013, 'humidity': 90}",4.9333,-52.3333,76.08,4.0
Aklavik,75,CA,1622155337,"{'temp': 32, 'feels_like': 21.6, 'temp_min': 32, 'temp_max': 32.83, 'pressure': 1013, 'humidity': 69}",68.2191,-135.0107,32.83,14.97
Byron Bay,4,AU,1622155482,"{'temp': 55.44, 'feels_like': 54.01, 'temp_min': 49.96, 'temp_max': 63.05, 'pressure': 1022, 'humidity': 71, 'sea_level': 1022, 'grnd_level': 1021}",-28.65,153.6167,63.05,9.42
Tuatapere,100,NZ,1622155482,"{'temp': 49.82, 'feels_like': 49.82, 'temp_min': 49.82, 'temp_max': 49.82, 'pressure': 1000, 'humidity': 92, 'sea_level': 1000, 'grnd_level': 997}",-46.1333,167.6833,49.82,1.5
